0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,年,月,日,満潮時刻,満潮潮位,満潮時刻,満潮潮位,満潮時刻,満潮潮位,満潮時刻,満潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位
 -7, -7, -5, -2,  2,  6,  8,  9,  9,  8,  6,  6,  6,  7,  9, 11, 14, 15, 15, 13, 10,  6,  1, -3,23, 3,13, 726,  9,1722, 15,"","","","", 035, -7,11 4,  6,"","","",""
 -5, -6, -6, -5, -1,  2,  5,  7,  9,  9,  9,  9, 10, 11, 12, 13, 15, 17, 17, 16, 14, 11,  6,  2,23, 3,14,1747, 17,"","","","","","", 127, -7,"","","","","",""
 -2, -4, -6, -6, -4, -2,  1,  4,  7,  9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 19, 17, 15, 11,  7,23, 3,15,1820, 19,"","","","","","", 231, -6,"","","","","",""
  3,  0, -3, -5, -5, -5, -3,  0,  3,  6,  8, 10, 12, 14, 15, 16, 17, 18, 19, 19, 19, 18, 16, 13,23, 3,16,1915, 19,"","","","","","", 354, -5,"","","","","",""
  9,  5,  1, -2, -5, -6, -6, -5, -2,  1,  5,  8, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 18, 17,23, 3,17,2111, 18,"","","","","","", 531, -6,"","","","","",""
 14, 11,  6,  2, -2, -5, -7, -8, -6, -3,  1,  5,  8, 11, 13, 14, 14, 14, 14, 14, 15, 16, 17, 18,23, 3,18,23 5, 18,"","","","","","", 650, -8,"","","","","",""
 18, 15, 12,  8,  3, -2, -6, -8, -9, -8, -4,  0,  5,  8, 10, 11, 11, 10, 10,  9, 10, 11, 13, 16,23, 3,19,1520, 11,"","","","","","", 751, -9,1857,  9,"","","",""
 18, 18, 16, 12,  8,  2, -3, -7,-10,-10, -8, -4,  1,  6,  8, 10,  9,  8,  6,  5,  4,  5,  7, 11,23, 3,20, 030, 18,1518, 10,"","","","", 841,-10,1957,  4,"","","",""
 14, 17, 17, 16, 12,  7,  1, -4, -8,-10,-10, -7, -2,  3,  7,  9,  9,  7,  4,  1, -1, -1,  0,  3,23, 3,21, 140, 18,1528,  9,"","","","", 923,-10,2052, -1,"","","",""
  8, 13, 16, 16, 14, 11,  5,  0, -5, -8, -9, -7, -3,  2,  6,  8,  9,  7,  4,  0, -3, -5, -6, -4,23, 3,22, 245, 16,1544,  9,"","","","",10 1, -9,2144, -6,"","","",""
